ID_LOG,TIMESTAMP_DECISAO,COMANDO_BOMBA,FONTE_DECISAO,CONDICAO_METEO_DESC,UMIDADE_AR_API,TEMPERATURA_API,ID_TEMPO_API
1,2024-06-21 00:00:00.000,LIGAR_BOMBA,Sintetico,Nublado,76.56,14.49,728
2,2024-06-21 00:52:33.600,DESLIGAR_BOMBA,Sintetico,Nublado,77.61,11.52,581
3,2024-06-21 01:45:07.200,DESLIGAR_BOMBA,Sintetico,Céu Limpo,84.64,13.59,327
4,2024-06-21 02:37:40.800,DESLIGAR_BOMBA,Sintetico,Chuvoso,86.23,10.01,493
5,2024-06-21 03:30:14.400,DESLIGAR_BOMBA,Sintetico,Céu Limpo,81.56,14.71,597
6,2024-06-21 04:22:48.000,DESLIGAR_BOMBA,Sintetico,Céu Limpo,83.31,13.03,343
7,2024-06-21 05:15:21.600,DESLIGAR_BOMBA,Sintetico,Céu Limpo,80.32,13.61,661
8,2024-06-21 06:07:55.200,DESLIGAR_BOMBA,Sintetico,Nublado,73.91,11.44,685
9,2024-06-21 07:00:28.800,DESLIGAR_BOMBA,Sintetico,Nublado,77.04,11.16,742
10,2024-06-21 07:53:02.400,DESLIGAR_BOMBA,Sintetico,Chuvoso,85.99,10.99,478
11,2024-06-21 08:45:36.000,LIGAR_BOMBA,Sintetico,Céu Limpo,73.4,13.88,431
12,2024-06-21 09:38:09.600,DESLIGAR_BOMBA,Sintetico,Chuvoso,87.1,8.66,737
13,2024-06-21 10:30:43.200,DESLIGAR_BOMBA,Sintetico,Céu Limpo,81.63,16.28,792
14,2024-06-21 11:23:16.800,DESLIGAR_BOMBA,Sintetico,Céu Limpo,83.65,13.31,490
15,2024-06-21 12:15:50.400,DESLIGAR_BOMBA,Sintetico,Céu Limpo,81.11,11.46,378
16,2024-06-21 13:08:24.000,DESLIGAR_BOMBA,Sintetico,Nublado,71.28,11.59,727
17,2024-06-21 14:00:57.600,DESLIGAR_BOMBA,Sintetico,Céu Limpo,82.57,13.54,685
18,2024-06-21 14:53:31.200,DESLIGAR_BOMBA,Sintetico,Nublado,79.76,10.99,279
19,2024-06-21 15:46:04.800,LIGAR_BOMBA,Sintetico,Nublado,77.73,13.11,308
20,2024-06-21 16:38:38.400,DESLIGAR_BOMBA,Sintetico,Chuvoso,87.79,12.1,363
21,2024-06-21 17:31:12.000,DESLIGAR_BOMBA,Sintetico,Céu Limpo,78.07,13.52,586
22,2024-06-21 18:23:45.600,DESLIGAR_BOMBA,Sintetico,Nublado,82.16,12.31,708
23,2024-06-21 19:16:19.200,LIGAR_BOMBA,Sintetico,Céu Limpo,77.44,15.27,538
